Id,Label,Year,War,Tech_Key
Flintlock Musket (Brown B,Flintlock Musket (Brown Bess),1776,American Revolution,Smoothbore muzzle-loading; 50-100 yards 
Flintlock Pistol & Cavalr,Flintlock Pistol & Cavalry Carbines,1783,American Revolution,Cavalry weapon specialization begins
Springfield Model 1841 Ri,Springfield Model 1841 Rifle,1846,Mexican-American War,First widespread rifled musket adoption
Rifled Musket (Springfiel,Rifled Musket (Springfield/Enfield),1861,Civil War,Minié ball ammo; 300+ yards effective ra
Gatling Gun Model 1861,Gatling Gun Model 1861,1861,Civil War,First recoil-operated machine gun
Ironclad Warships,Ironclad Warships,1863,Civil War,Steam-powered ironclads debut
Krag-Jorgensen & M1893 Sp,Krag-Jorgensen & M1893 Springfield,1898,Spanish-American War,Magazine-fed rifles; 5-round capacity
M1917 Enfield / M1903 Spr,M1917 Enfield / M1903 Springfield,1917,WWI,Massive production; trench warfare domin
M1918 BAR,M1918 BAR,1918,WWI,First portable automatic rifle; 20-round
M1 Garand,M1 Garand,1941,WWII,Semi-automatic; standard US Army issue
M3 Grease Gun Submachine ,M3 Grease Gun Submachine Gun,1942,WWII,.45 ACP; cheap mass production
M1 Carbine,M1 Carbine,1944,WWII,Lightweight; paratrooper & support troop
Atomic Bomb,Atomic Bomb,1945,WWII,Nuclear weapons era; strategic bombing
M14 Rifle,M14 Rifle,1950,Korean War,7.62mm NATO; selective fire capability
Hydrogen Bomb,Hydrogen Bomb,1952,Cold War,Thermonuclear weapons; megaton yield
M16 Rifle,M16 Rifle,1964,Vietnam War,5.56mm NATO; plastic stock; lightweight
M60 General Purpose Machi,M60 General Purpose Machine Gun,1967,Vietnam War,7.62mm; belt-fed; 600-700 rpm
AGM-45 Shrike Anti-radiat,AGM-45 Shrike Anti-radiation Missile,1970,Vietnam War,First operationally successful anti-radi
M1A1 Abrams Tank,M1A1 Abrams Tank,1991,Gulf War,120mm gun; composite armor; thermal sigh
F-117 Nighthawk Stealth A,F-117 Nighthawk Stealth Aircraft,1991,Gulf War,First stealth aircraft; precision bombin
Tomahawk Cruise Missile,Tomahawk Cruise Missile,1991,Gulf War,Land-attack cruise missile; 1500+ km ran
MQ-1 Predator Drone,MQ-1 Predator Drone,2001,War on Terror,UAV for ISR & strike; Hellfire missiles
M4 Carbine Modernized,M4 Carbine Modernized,2003,War on Terror,Modular; picatinny rail; fully automatic
F-35 Lightning II Block 4,F-35 Lightning II Block 4,2020,Near-peer competition,Stealth + sensor fusion; network-centric
Switchblade 600 Kamikaze ,Switchblade 600 Kamikaze Drone,2022,Ukraine War,Loitering munition; man-portable; 40+ km
AI-Powered ISR (Gorgon/St,AI-Powered ISR (Gorgon/Stare),2024,Global,Computer vision; multiple drone tracking
LAWS Lethal Autonomous We,LAWS Lethal Autonomous Weapon Systems,2026,AI Era,AI selects & engages targets; no human i